exposure	metabolite	fe_effect	fe_lower	fe_upper	fe_p	b	lower_ci	upper_ci	pval	q	q_df	q_p	tau2	tau2_se	tau	h	i1	raw.label	class	subclass	label	label.no.units	derived_features
BF_Lu_7	idll	-0.614921895183535	-1.30316261757756	0.0733188272104858	0.0799170662408599	-0.614921895183535	-1.30316261757756	0.0733188272104858	0.0799170662408599	0.0013632069120537	1	0.970547491636242	0	0.348762307925439	0	1	0	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	Total lipids	no
BF_Lu_7	idlp	0.0899593430859759	-0.221117459743104	0.401036145915056	0.570852821326528	-0.10635552335381	-0.871549659299203	0.658838612591583	0.785300293075872	2.95844100377534	1	0.0854302749209403	0.215104963675038	0.431113951762274	0.463794096205458	1.72001191966083	0.661984133290515	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	Particle concentration (mol/l)	Particle concentration	no
BF_Lu_7	idlpl	0.105110748517167	-0.198718999413725	0.408940496448058	0.497736817673148	0.0352077012440031	-0.443294491445572	0.513709893933579	0.885332952816911	1.67120518070461	1	0.196097188189094	0.0565826630219773	0.168584124903381	0.237871105899765	1.29275101264884	0.401629427944699	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	Phospholipids	no
BF_Lu_7	idltg	-0.190316734631388	-0.656355751633014	0.275722282370238	0.423483659128235	-0.208561413829166	-0.761052826944228	0.343929999285897	0.459377739402344	1.36768346026764	1	0.242210296331856	0.0440329577628115	0.224750091164028	0.209840314913058	1.16947999566801	0.268836665024589	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides (mmol/l)	Triglycerides	no
BF_Lu_7	ile	-0.130965522463226	-0.412395044836358	0.150463999909906	0.361723859216714	-0.130965522463226	-0.412395044836358	0.150463999909906	0.361723859216714	0.213306908986164	1	0.644187737921069	0	0.0583160525579609	0	1	0	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	Isoleucine (mmol/l)	Isoleucine	no
BF_Lu_7	la	-0.163074814792464	-0.397701975891596	0.0715523463066685	0.173119117416902	-0.163074814792464	-0.397701975891596	0.0715523463066685	0.173119117416902	0.612645311146203	1	0.433793538750611	0	0.0405326858904055	0	1	0	18:2, linoleic acid (mmol/l)	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	Linoleic acid	no
BF_Lu_7	lac	0.0139085805419114	-0.103263393524764	0.131080554608587	0.816031493580566	0.0139085805419114	-0.103263393524764	0.131080554608587	0.816031493580566	0.315146214850168	1	0.574539298053133	0	0.0101087232077856	0	1	0	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Lactate (mmol/l)	Lactate	no
BF_Lu_7	ldlc	-0.515992962665276	-1.26612913876996	0.23414321343941	0.17759662348179	-0.515992962665276	-1.26612913876996	0.23414321343941	0.17759662348179	0.0927188720028153	1	0.760748716354204	0	0.414313449835357	0	1	0	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	no
BF_Lu_7	ldld	0.34952403755831	-0.0187810612472472	0.717829136363866	0.0628828210607954	0.34952403755831	-0.0187810612472472	0.717829136363866	0.0628828210607954	0.0157689662268188	1	0.900068713964498	0	0.0998767205745904	0	1	0	Mean diameter for LDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	LDL particle size (nm)	LDL particles size	no
BF_Lu_7	leu	-0.0453722015708977	-0.30725446770317	0.216510064561375	0.734178878388869	-0.0453722015708977	-0.30725446770317	0.216510064561375	0.734178878388869	0.180150451597528	1	0.671243976699567	0	0.0504964668212038	0	1	0	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	Leucine (mmol/l)	Leucine	no
BF_Lu_7	lhdlc	0.366356044269747	-0.0669183929737353	0.79963048151323	0.0974686657825658	0.366356044269747	-0.0669183929737353	0.79963048151323	0.0974686657825658	0.085164077847223	1	0.770417485592377	0	0.138221291049718	0	1	0	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total cholesterol (mmol/l)	Total cholesterol	no
BF_Lu_7	lhdlce	0.490745722131296	0.0323272927560688	0.949164151506524	0.0358893322705603	0.490745722131296	0.0323272927560688	0.949164151506524	0.0358893322705603	0.0258777366607541	1	0.872199267877929	0	0.154729438371253	0	1	0	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
BF_Lu_7	lhdlfc	0.299617156227911	-0.111927802718787	0.711162115174609	0.153604984876498	0.299617156227911	-0.111927802718787	0.711162115174609	0.153604984876498	0.108978811857359	1	0.74130975241769	0	0.124704861435879	0	1	0	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	Free cholesterol	no
BF_Lu_7	lhdll	0.472973423602946	0.0242606562722356	0.921686190933657	0.038834730111951	0.472973423602946	0.0242606562722356	0.921686190933657	0.038834730111951	0.0480404690581754	1	0.826508774169974	0	0.148246915179315	0	1	0	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total lipids (mmol/l)	Total lipids	no
BF_Lu_7	lhdlp	0.113009142459381	-0.321981798801699	0.548000083720461	0.610617743862249	0.0792922517853009	-0.790157775993518	0.94874227956412	0.858137831617762	3.95633413277463	1	0.0466952895867589	0.294288745033218	0.556593413593038	0.542483866150154	1.98905357715036	0.747240762170235	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	Particle concentration (mol/l)	Particle concentration	no
BF_Lu_7	lhdlpl	0.126001263052102	-0.307686208528779	0.559688734632982	0.569059230304586	0.089165555575157	-0.799044825381069	0.977375936531383	0.844017995105013	4.14916891782118	1	0.0416549638786592	0.311953209401567	0.580872077986249	0.558527715875915	2.03695088743474	0.758987879306412	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	no
BF_Lu_7	lldlc	-0.438823324214934	-1.12061084420084	0.242964195770972	0.207127199640884	-0.438823324214934	-1.12061084420084	0.242964195770972	0.207127199640884	0.121937300505836	1	0.726942755757863	0	0.342252718182993	0	1	0	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total cholesterol (mmol/l)	Total cholesterol	no
BF_Lu_7	lldlce	-0.671440670742651	-1.44207965125285	0.0991983097675504	0.0876969979559896	-0.671440670742651	-1.44207965125285	0.0991983097675504	0.0876969979559896	0.0107973283391369	1	0.917240617559324	0	0.437271081796312	0	1	0	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
BF_Lu_7	lldlfc	0.150913380682078	-0.390324724272663	0.692151485636819	0.584724615619904	0.132028460472394	-0.740326459131266	1.00438338007605	0.766745164115654	2.58715173272549	1	0.107733914759427	0.243241575386213	0.560318859789167	0.493195271050132	1.60846253693566	0.613474545249603	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Free cholesterol (mmol/l)	Free cholesterol	no
BF_Lu_7	lldll	-0.693828189346816	-1.47000599513239	0.0823496164387543	0.0797705410154599	-0.693828189346816	-1.47000599513239	0.0823496164387543	0.0797705410154599	0.00181744060322882	1	0.96599532410499	0	0.443579280332027	0	1	0	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total lipids (mmol/l)	Total lipids	no
BF_Lu_7	lldlp	-0.169701542440029	-0.964363156347444	0.624960071467386	0.675542008804293	-0.0271020237194562	-1.48449376091256	1.43028971347365	0.970925154051986	3.12325454991336	1	0.0771824864852561	0.757896223363998	1.56387276815819	0.870572353893689	1.76727319617352	0.679821166024479	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	Particle concentration (mol/l)	Particle concentration	no
BF_Lu_7	lldlpl	-0.0456138552303086	-0.733204780497947	0.64197707003733	0.896549520147649	0.0904464745611209	-0.99753978544035	1.17843273456259	0.870569040303519	2.07291663212944	1	0.149934547457442	0.335628317211334	0.871556674216962	0.57933437427045	1.43976269993685	0.517587931660941	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	Phospholipids	no
BF_Lu_7	lvldlc	-0.00336658698064548	-0.307710676985316	0.300977503024025	0.982702668967171	-0.0293209265101261	-0.441791748542463	0.383149895522211	0.889192449045799	1.73295258579221	1	0.188034263884681	0.0385141805766215	0.125266595951199	0.196250300831926	1.31641657000822	0.422950167131748	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total cholesterol (mmol/l)	Total cholesterol	no
BF_Lu_7	lvldlce	-0.123320618019986	-0.425790732701791	0.17914949666182	0.424232235613883	-0.206128861802758	-0.937301600899646	0.52504387729413	0.580575664164413	5.42546225675414	1	0.0198451811600655	0.227607859714319	0.393630546536186	0.477082655013069	2.32926217003457	0.815683908084495	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
BF_Lu_7	lvldlfc	-0.270144361835004	-0.524326718714931	-0.0159620049550763	0.037247146246893	-0.270144361835004	-0.524326718714931	-0.0159620049550763	0.037247146246893	0.00670212179121198	1	0.934752883980284	0	0.0475707081097021	0	1	0	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	no
BF_Lu_7	lvldll	-0.452809212216732	-0.840779539770504	-0.0648388846629606	0.02216550984071	-0.452809212216732	-0.840779539770504	-0.0648388846629606	0.02216550984071	0.0490507113031933	1	0.824723416514843	0	0.110827065596968	0	1	0	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids (mmol/l)	Total lipids	no
BF_Lu_7	lvldlp	-0.508888044331974	-0.931686870289576	-0.0860892183743734	0.0183219424351751	-0.508888044331974	-0.931686870289576	-0.0860892183743734	0.0183219424351751	0.153271714820062	1	0.69542819378582	0	0.131618324156737	0	1	0	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	no
BF_Lu_7	lvldlpl	-0.335590599597129	-0.786301806436448	0.11512060724219	0.144468745854482	-0.335590599597129	-0.786301806436448	0.11512060724219	0.144468745854482	0.024808378899119	1	0.874845482049957	0	0.149570355244026	0	1	0	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids (mmol/l)	Phospholipids	no
BF_Lu_7	lvldltg	-0.0244063030404078	-0.289466313822927	0.240653707742112	0.856783323440459	-0.0281383779605038	-0.303783382319577	0.247506626398569	0.841420412510104	1.05005136929547	1	0.305495256349435	0.00242859056192258	0.0559434265355545	0.049280732156925	1.02472014193899	0.0476656388049422	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	no
BF_Lu_7	mhdlc	0.376553587113505	0.0119080904356996	0.741199083791311	0.0429732602937963	0.376553587113505	0.0119080904356996	0.741199083791311	0.0429732602937963	0.0402948960556266	1	0.8409050975878	0	0.0979017647543537	0	1	0	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total cholesterol (mmol/l)	Total cholesterol	no
