id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Yengo BMI EU sex combined 656 SNPs	5rbzqa	ApoA1.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	947.436698657509	635	9.53012253256695e-15
Yengo BMI EU sex combined 656 SNPs	5rbzqa	ApoA1.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	945.948827369534	634	9.9788158024349e-15
Yengo BMI EU sex combined 656 SNPs	5rbzqa	ApoA1.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	948.510256751631	635	7.95588676869999e-15
Yengo BMI EU sex combined 656 SNPs	5rbzqa	ApoA1.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	946.928687750645	635	1.03786827446182e-14
Yengo BMI EU sex combined 656 SNPs	5rbzqa	ApoA1.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0716424810730029	635	1
Yengo BMI EU sex combined 656 SNPs	5xh7px	Serum-C.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	1113.17589710202	635	1.09077134164549e-28
Yengo BMI EU sex combined 656 SNPs	5xh7px	Serum-C.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	1113.18993044905	634	8.18673180270705e-29
Yengo BMI EU sex combined 656 SNPs	5xh7px	Serum-C.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	1113.19137643929	635	1.08711621944325e-28
Yengo BMI EU sex combined 656 SNPs	5xh7px	Serum-C.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	1113.15889993972	635	1.09479894787077e-28
Yengo BMI EU sex combined 656 SNPs	5xh7px	Serum-C.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0912480997458519	635	1
Yengo BMI EU sex combined 656 SNPs	6cixjh	XXL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	899.076120280573	635	2.12159768572993e-11
Yengo BMI EU sex combined 656 SNPs	6cixjh	XXL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	899.430682261503	634	1.68191637366825e-11
Yengo BMI EU sex combined 656 SNPs	6cixjh	XXL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	899.493285547385	635	1.99242885302429e-11
Yengo BMI EU sex combined 656 SNPs	6cixjh	XXL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	898.851081885839	635	2.1946604054889e-11
Yengo BMI EU sex combined 656 SNPs	6cixjh	XXL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.06810224468407	635	1
Yengo BMI EU sex combined 656 SNPs	6HcJwh	FAw6.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	859.484684526425	635	6.04516031255198e-09
Yengo BMI EU sex combined 656 SNPs	6HcJwh	FAw6.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	858.803944739328	634	5.66668523315767e-09
Yengo BMI EU sex combined 656 SNPs	6HcJwh	FAw6.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	860.032635633787	635	5.61433407571103e-09
Yengo BMI EU sex combined 656 SNPs	6HcJwh	FAw6.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	859.244800615535	635	6.2437848460612e-09
Yengo BMI EU sex combined 656 SNPs	6HcJwh	FAw6.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0613998663542966	635	1
Yengo BMI EU sex combined 656 SNPs	6K4Zoc	DAGbyTG.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	722.794717692396	635	0.00872933106245391
Yengo BMI EU sex combined 656 SNPs	6K4Zoc	DAGbyTG.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	720.693964470199	634	0.00938050162272483
Yengo BMI EU sex combined 656 SNPs	6K4Zoc	DAGbyTG.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	722.977888186161	635	0.00861834890383287
Yengo BMI EU sex combined 656 SNPs	6K4Zoc	DAGbyTG.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	722.72027496589	635	0.00877479781943384
Yengo BMI EU sex combined 656 SNPs	6K4Zoc	DAGbyTG.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0536756233306387	635	1
Yengo BMI EU sex combined 656 SNPs	6LleTO	M-HDL-C.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	909.090172764379	635	4.6124234235463e-12
Yengo BMI EU sex combined 656 SNPs	6LleTO	M-HDL-C.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	904.163918126277	634	8.18858187320064e-12
Yengo BMI EU sex combined 656 SNPs	6LleTO	M-HDL-C.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	909.662135246047	635	4.22263888456751e-12
Yengo BMI EU sex combined 656 SNPs	6LleTO	M-HDL-C.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	908.833965661571	635	4.79831256219735e-12
Yengo BMI EU sex combined 656 SNPs	6LleTO	M-HDL-C.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.068850483647348	635	1
Yengo BMI EU sex combined 656 SNPs	6wYHEs	S-HDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	954.402935616839	635	2.93258225088077e-15
Yengo BMI EU sex combined 656 SNPs	6wYHEs	S-HDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	954.40350765198	634	2.38179570323303e-15
Yengo BMI EU sex combined 656 SNPs	6wYHEs	S-HDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	954.403570188289	635	2.9322652172277e-15
Yengo BMI EU sex combined 656 SNPs	6wYHEs	S-HDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	954.398812843856	635	2.93464282484612e-15
Yengo BMI EU sex combined 656 SNPs	6wYHEs	S-HDL-C_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.074529129094333	635	1
Yengo BMI EU sex combined 656 SNPs	76XHuU	XL-VLDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	784.652582706993	635	4.30296024369049e-05
Yengo BMI EU sex combined 656 SNPs	76XHuU	XL-VLDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	783.050909744945	634	4.5227195051549e-05
Yengo BMI EU sex combined 656 SNPs	76XHuU	XL-VLDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	784.760837890769	635	4.25597698693973e-05
Yengo BMI EU sex combined 656 SNPs	76XHuU	XL-VLDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	784.601344365067	635	4.32536989819944e-05
Yengo BMI EU sex combined 656 SNPs	76XHuU	XL-VLDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0678564574820527	635	1
Yengo BMI EU sex combined 656 SNPs	7bINmm	XL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	909.412298728241	635	4.38874006468248e-12
Yengo BMI EU sex combined 656 SNPs	7bINmm	XL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	909.838870808498	634	3.41670139652416e-12
Yengo BMI EU sex combined 656 SNPs	7bINmm	XL-VLDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	909.892818405563	635	4.07477512353368e-12
