metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
mhdlp	588	-1.54630178623644e-08	8.36957389650362e-09	0.0651806266598806	-3.18673826995115e-08	9.41346974782694e-10	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
mhdll	588	-0.00984387275263111	0.0042934323597865	0.0222186448059625	-0.0182590001778127	-0.00142874532744957	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
mhdlpl	588	-0.00551173290561953	0.00226013943284388	0.0150409002962686	-0.00994160619399354	-0.00108185961724552	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
mhdlc	588	-0.00583065156386365	0.00209529126412922	0.00556605156461109	-0.00993742244155692	-0.00172388068617038	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
mhdlce	588	-0.00504645622678754	0.00173405000971024	0.00375066228768103	-0.00844519424581961	-0.00164771820775547	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
mhdlfc	588	-0.000804317001108045	0.000378293294481504	0.0339112892928008	-0.00154577185829179	-6.28621439242972e-05	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
mhdltg	588	0.00154498402485019	0.00036756135778172	3.04608431111821e-05	0.000824563763598019	0.00226540428610236	Triglycerides in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
shdlp	588	2.4765798351162e-08	1.29377301021322e-08	0.0560833166164795	-5.92152649017114e-10	5.01237493513411e-08	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
shdll	588	0.00261340971401934	0.00376375699899505	0.487733748028777	-0.00476355400401096	0.00999037343204964	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
shdlpl	588	0.00267085819307251	0.00226138867603465	0.238059851636729	-0.0017614636119554	0.00710317999810042	Phospholipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
shdlc	588	-0.00113761204398462	0.00205444727772356	0.579976426533304	-0.0051643287083228	0.00288910462035356	Total cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
shdlce	588	-0.000455881975854835	0.00178907232329867	0.798956679364745	-0.00396246372952023	0.00305069977781056	Cholesterol esters in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
shdlfc	588	-0.000685263372104585	0.000489083331220819	0.161714587747837	-0.00164386670129739	0.00027333995708822	Free cholesterol in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
